"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Trustv7.nlogo"
"Sweep_Reliability_x_Transparency"
"03/01/2026 12:45:59:211 -0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","robot-reliability","robot-transparency","num-humans","num-robots","initial-tasks","initial-trust","robot-autonomy","robot-comm-frequency","collaboration-rate","delegation-sensitivity","max-ticks","[step]","average-trust","total-tasks-completed","team-efficiency","get-average-stress","get-task-success-rate","get-delegation-rate","get-human-idle-rate","get-mean-kalman-gain","get-mean-trust-covariance","get-misallocation-rate","get-judgment-failure-rate"
"53","70","10","3","3","30","50","70","50","50","0.5","2000","2000","69.98142323526798","82","66.66666666666666","53.03030461136484","73.87387387387388","13.513513513513514","33.33333333333333","0.2725300088487033","3.754687389962291","40","1000"
"51","40","10","3","3","30","50","70","50","50","0.5","2000","2000","40.83056566884554","73","100","67.82945736434108","58.87096774193549","1.694915254237288","0","0.2767427940650251","3.826782686345983","0","0"
"54","85","10","3","3","30","50","70","50","50","0.5","2000","2000","85.12472709933006","93","100","78.0417099301451","83.78378378378379","10.76923076923077","0","0.280437378512973","3.897416457486328","28.57142857142857","800"
"57","55","30","3","3","30","50","70","50","50","0.5","2000","2000","55.69823409271885","82","100","53.03030303035209","71.30434782608695","8.333333333333332","33.33333333333333","0.2550847316493547","3.431474086311398","20","1400"
"55","100","10","3","3","30","50","70","50","50","0.5","2000","2000","100","96","83.33333333333334","83.33333333333333","83.47826086956522","10.16949152542373","0","0.286219531745669","4.010118028512832","100","250"
"60","100","30","3","3","30","50","70","50","50","0.5","2000","2000","100","90","100","78.85112950015154","78.26086956521739","7.547169811320755","0","0.2670549293133318","3.643718910791685","50","800"
"58","70","30","3","3","30","50","70","50","50","0.5","2000","2000","70.81368263443132","104","100","70.70707070707084","83.87096774193549","3.278688524590164","0","0.2640428602658749","3.5883982041932083","0","0"
"56","40","30","3","3","30","50","70","50","50","0.5","2000","2000","39.970301494615654","52","100","55.44277349277534","48.148148148148145","0","0","0.26562446374581167","3.6171268348564687","0","0"
"59","85","30","3","3","30","50","70","50","50","0.5","2000","2000","84.89070913219625","92","100","75.13740225143636","81.41592920353983","3.571428571428571","0","0.2657769353609014","3.6200976998435834","50","1400"
"61","40","50","3","3","30","50","70","50","50","0.5","2000","2000","40.75316541547772","72","100","73.55816226783965","63.716814159292035","1.7543859649122806","0","0.24042475068620053","3.171476344880984","0","0"
"66","40","70","3","3","30","50","70","50","50","0.5","2000","2000","40.410908140836646","74","100","83.33333333333333","59.199999999999996","1.7857142857142856","0","0.24109166110296654","3.177040822753272","0","0"
"64","85","50","3","3","30","50","70","50","50","0.5","2000","2000","85.09441905225545","89","100","66.66666666666667","79.46428571428571","20","0","0.2505599654251529","3.3435114633382645","20","850"
"62","55","50","3","3","30","50","70","50","50","0.5","2000","2000","56.8571617184305","72","100","53.03030303030303","61.53846153846154","7.547169811320755","33.33333333333333","0.24223775849050325","3.203908601963949","0","0"
"63","70","50","3","3","30","50","70","50","50","0.5","2000","2000","71.1472425731842","92","100","36.36363636363637","79.3103448275862","1.6666666666666667","33.33333333333333","0.2379819957031014","3.127920519995699","0","0"
"67","55","70","3","3","30","50","70","50","50","0.5","2000","2000","56.98766319102185","59","100","66.66666666666667","62.76595744680851","5.555555555555555","0","0.23890106173085682","3.1391145875410245","50","1600"
"68","70","70","3","3","30","50","70","50","50","0.5","2000","2000","69.57414113815355","69","100","83.33333333333333","71.875","7.6923076923076925","0","0.2390384823007973","3.1414745644692617","33.33333333333333","1400"
"69","85","70","3","3","30","50","70","50","50","0.5","2000","2000","85.75829471069805","90","100","100","79.64601769911505","4.651162790697675","0","0.24328226047507628","3.21496705796552","0","0"
"71","40","90","3","3","30","50","70","50","50","0.5","2000","2000","40.99520853213061","57","100","66.66666666666667","55.88235294117647","2.631578947368421","0","0.23260560575351405","3.0313286391094785","0","0"
"65","100","50","3","3","30","50","70","50","50","0.5","2000","2000","100","82","100","100","89.13043478260869","13.157894736842104","0","0.2548157126380357","3.419499269638546","20","800"
"72","55","90","3","3","30","50","70","50","50","0.5","2000","2000","56.00619130276135","63","100","83.33333333333333","59.43396226415094","11.363636363636363","0","0.23483071520817056","3.0692237563207567","0","0"
"70","100","70","3","3","30","50","70","50","50","0.5","2000","2000","99.99994789536531","113","100","86.55913978494624","86.92307692307692","4.615384615384616","0","0.23871813441735737","3.1366778791205667","33.33333333333333","1000"
"73","70","90","3","3","30","50","70","50","50","0.5","2000","2000","69.79664318678009","83","100","57.291666666666664","76.85185185185185","0","0","0.22161042248800353","2.8502640161581527","0","0"
"74","85","90","3","3","30","50","70","50","50","0.5","2000","2000","85.46544516167432","120","100","89.68007527988225","90.9090909090909","0","0","0.23231877431980333","3.026413020736195","0","0"
"75","100","90","3","3","30","50","70","50","50","0.5","2000","2000","100","99","83.33333333333334","100","84.61538461538461","4.081632653061225","0","0.23705458527807666","3.1070975813450272","0","0"
"78","70","10","3","3","30","50","70","50","50","0.5","2000","2000","70.19854743459992","82","100","100","74.54545454545455","7.142857142857142","0","0.28972566568063063","4.079202833434171","0","0"
"77","55","10","3","3","30","50","70","50","50","0.5","2000","2000","55.131397246267625","65","100","66.66666666666667","68.42105263157895","10.869565217391305","0","0.2842712241425711","3.971980649667682","20","1900"
"76","40","10","3","3","30","50","70","50","50","0.5","2000","2000","40.445473061127586","75","100","90.68901303536951","64.65517241379311","1.6666666666666667","0","0.27840606846960064","3.8595807907565143","0","0"
"80","100","10","3","3","30","50","70","50","50","0.5","2000","2000","100","100","100","66.66666666666667","84.7457627118644","7.4074074074074066","0","0.2862195317463223","4.010118028525724","75","500"
"81","40","30","3","3","30","50","70","50","50","0.5","2000","2000","40.0175629187756","78","100","83.33333333333333","61.417322834645674","1.7543859649122806","0","0.2647077013774406","3.600499465625806","0","0"
"84","85","30","3","3","30","50","70","50","50","0.5","2000","2000","84.95875906324709","95","100","73.75119589712216","79.83193277310924","3.125","0","0.257520849936309","3.4706237792026093","0","0"
"79","85","10","3","3","30","50","70","50","50","0.5","2000","2000","85.05304748527567","97","100","66.4983164983165","82.90598290598291","6.0606060606060606","0","0.29204183815501855","4.130726593523115","75","433.3333333333333"
"82","55","30","3","3","30","50","70","50","50","0.5","2000","2000","54.881850619536145","73","100","86.50472334682861","66.97247706422019","4","0","0.25882200589063703","3.493949772423944","50","1800"
"83","70","30","3","3","30","50","70","50","50","0.5","2000","2000","70.86500167921395","94","100","83.33333333333333","81.73913043478261","12.727272727272727","0","0.26820211192846194","3.665187882471256","14.285714285714285","900"
"85","100","30","3","3","30","50","70","50","50","0.5","2000","2000","100","103","100","57.1155594420895","90.35087719298247","15.384615384615385","0","0.2652262868859095","3.6096947456597364","50","225"
"88","70","50","3","3","30","50","70","50","50","0.5","2000","2000","70.8278595440233","95","100","100","76.61290322580645","0","0","0.25371088677743353","3.3996942181632916","0","0"
"86","40","50","3","3","30","50","70","50","50","0.5","2000","2000","40.66006345234116","68","100","83.33333333333333","56.666666666666664","0","0","0.25072229618344943","3.3463871784958936","0","0"
"87","55","50","3","3","30","50","70","50","50","0.5","2000","2000","54.733911084244646","62","100","66.66666666666667","60.78431372549019","5.128205128205128","0","0.25055996323391105","3.3435114245452198","0","0"
"89","85","50","3","3","30","50","70","50","50","0.5","2000","2000","86.77544905964992","83","100","57.99683877121714","81.37254901960785","7.4074074074074066","0","0.24961605995176728","3.326577683225946","0","0"
"90","100","50","3","3","30","50","70","50","50","0.5","2000","2000","100","91","100","66.66666666666667","89.2156862745098","7.142857142857142","0","0.2505562472951311","3.3434445078206063","0","0"
"94","85","70","3","3","30","50","70","50","50","0.5","2000","2000","85.9668669278757","112","100","44.11766217533108","82.96296296296296","6.25","33.33333333333333","0.22782343505287894","2.955174512435468","0","0"
"95","100","70","3","3","30","50","70","50","50","0.5","2000","2000","100","87","100","50","88.77551020408163","3.7735849056603774","0","0.23641632899387274","3.096376573934521","0","0"
"92","55","70","3","3","30","50","70","50","50","0.5","2000","2000","55.04852726151399","76","100","100","66.08695652173913","2","0","0.2482695587037679","3.303819721906738","0","0"
"93","70","70","3","3","30","50","70","50","50","0.5","2000","2000","71.86683684334749","79","100","83.33333333333333","71.81818181818181","9.803921568627452","0","0.24109166110296654","3.177040822753272","20","1600"
"96","40","90","3","3","30","50","70","50","50","0.5","2000","2000","40.92397698873563","80","83.33333333333334","54.676258992805764","65.04065040650406","5.555555555555555","0","0.2313484708636859","3.010207980831582","0","0"
"97","55","90","3","3","30","50","70","50","50","0.5","2000","2000","56.23630933725224","66","100","83.33333333333333","62.857142857142854","0","0","0.23705458362973278","3.1070975530271383","0","0"
"91","40","70","3","3","30","50","70","50","50","0.5","2000","2000","40.8116727450001","63","83.33333333333334","55.62914460122365","57.798165137614674","0","0","0.23609743168811134","3.0906915148492584","0","0"
"99","85","90","3","3","30","50","70","50","50","0.5","2000","2000","84.74506623120625","70","50","83.33333333333333","73.68421052631578","8.108108108108109","0","0.2348300955155922","3.0692131102237625","0","0"
"98","70","90","3","3","30","50","70","50","50","0.5","2000","2000","71.71876846308783","93","100","66.66666666666667","85.3211009174312","11.627906976744185","0","0.23260560575351433","3.0313286391094834","0","0"
"100","100","90","3","3","30","50","70","50","50","0.5","2000","2000","100","84","100","50","80.76923076923077","6.976744186046512","0","0.23038111599123245","2.9934441679916985","0","0"
"101","40","10","3","3","30","50","70","50","50","0.5","2000","2000","40.50646403288543","68","100","76.33727692838924","60.71428571428571","6.382978723404255","0","0.2845083111370887","3.9765874319062626","0","0"
"104","85","10","3","3","30","50","70","50","50","0.5","2000","2000","85.58461287070531","115","100","73.52076236348182","90.5511811023622","1.694915254237288","0","0.2790285338932855","3.8729805348613393","100","1000"
"103","70","10","3","3","30","50","70","50","50","0.5","2000","2000","70.1494306471002","106","100","61.238641972225345","80.3030303030303","1.4084507042253522","0","0.2803308394602803","3.89534235624747","0","0"
"102","55","10","3","3","30","50","70","50","50","0.5","2000","2000","55.060653902285026","79","100","50","65.28925619834712","5.555555555555555","0","0.2842978943362872","3.972498514515921","33.33333333333333","1700"
"105","100","10","3","3","30","50","70","50","50","0.5","2000","2000","100","87","100","83.33333333333333","87.87878787878788","27.027027027027028","0","0.28102959606559064","3.911494006146153","30","266.66666666666663"
"109","85","30","3","3","30","50","70","50","50","0.5","2000","2000","85.62003679920308","102","100","61.111111111111114","87.17948717948718","5.660377358490567","0","0.2577356007030281","3.476756517002888","0","0"
"107","55","30","3","3","30","50","70","50","50","0.5","2000","2000","55.44384420530749","85","100","60.79463458871228","69.67213114754098","6.779661016949152","33.33333333333333","0.2564018221677948","3.4554107460971433","25","1600"
"108","70","30","3","3","30","50","70","50","50","0.5","2000","2000","70.36113086570252","76","100","78.6891263561083","73.07692307692307","9.615384615384617","0","0.2686297673424368","3.673084408011377","20","1700"
"106","40","30","3","3","30","50","70","50","50","0.5","2000","2000","40.930283207429994","56","100","83.33333333333333","54.36893203883495","2.4390243902439024","0","0.26820233431915935","3.6651920585054802","0","0"
"110","100","30","3","3","30","50","70","50","50","0.5","2000","2000","100","96","100","66.66666666666667","86.48648648648648","9.25925925925926","0","0.2682023343191593","3.665192058505479","20","1200"
"113","70","50","3","3","30","50","70","50","50","0.5","2000","2000","71.48387821881371","75","100","72.40437158469945","79.7872340425532","11.11111111111111","0","0.24997226716467238","3.333144682122034","0","0"
"112","55","50","3","3","30","50","70","50","50","0.5","2000","2000","56.47239690790763","70","100","83.33333333333333","59.82905982905983","6.976744186046512","0","0.25268783784856813","3.3815053455178643","33.33333333333333","2100"
"114","85","50","3","3","30","50","70","50","50","0.5","2000","2000","85.481961520788","104","66.66666666666666","53.03030646060288","83.87096774193549","13.333333333333334","0","0.23611627099436935","3.096318818677096","12.5","1200"
"111","40","50","3","3","30","50","70","50","50","0.5","2000","2000","41.01044699428994","60","100","66.66666666666667","57.14285714285714","2.272727272727273","0","0.25055996323391105","3.3435114245452198","0","0"
"115","100","50","3","3","30","50","70","50","50","0.5","2000","2000","100","95","100","70.56194125159642","87.1559633027523","13.20754716981132","0","0.24937114259867454","3.3230692357719285","42.857142857142854","266.66666666666663"
"116","40","70","3","3","30","50","70","50","50","0.5","2000","2000","40.23764195905381","70","100","65.78947368421053","60.3448275862069","0","0","0.23602233008043608","3.091730005535904","0","0"
"117","55","70","3","3","30","50","70","50","50","0.5","2000","2000","55.80549975296674","84","100","89.45147682918645","73.04347826086956","4.761904761904762","0","0.2408516696220984","3.17292558881647","0","0"
"119","85","70","3","3","30","50","70","50","50","0.5","2000","2000","85.48063228457109","92","100","66.66666666666667","82.14285714285714","2.127659574468085","0","0.23862187303940496","3.1343278136983415","0","0"
"120","100","70","3","3","30","50","70","50","50","0.5","2000","2000","100","90","100","66.66666666666667","85.71428571428571","7.2727272727272725","0","0.24109207646624306","3.1770480764765145","25","1200"
"118","70","70","3","3","30","50","70","50","50","0.5","2000","2000","69.9239718391495","91","100","77.30152549483843","74.59016393442623","1.5151515151515151","0","0.23628605940116265","3.094590035614479","0","0"
"121","40","90","3","3","30","50","70","50","50","0.5","2000","2000","41.65500332587829","62","100","66.66666666666667","56.36363636363636","4.651162790697675","0","0.23260560575351405","3.0313286391094785","0","0"
"122","55","90","3","3","30","50","70","50","50","0.5","2000","2000","56.24642315206555","66","83.33333333333334","53.03030303030303","60","4.878048780487805","33.33333333333333","0.22291080724607315","2.873611967155511","50","2300"
