"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"C:\Users\rkall\OneDrive\Documents\Personal\HRI Paper\Original\Trustv5.nlogo"
"Sweep_Reliability"
"02/23/2026 10:13:00:328 -0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","robot-reliability","num-humans","num-robots","initial-tasks","initial-trust","robot-autonomy","robot-transparency","robot-comm-frequency","collaboration-rate","[step]","average-trust","total-tasks-completed","team-efficiency","get-average-stress","get-task-success-rate","communication-events","get-robot-utilization"
"82","60","3","3","30","50","70","50","50","50","2000","80.0210037751145","81","100","83.33333333333333","79.41176470588235","1143","100"
"83","65","3","3","30","50","70","50","50","50","2000","85.02313918364607","88","100","100","73.94957983193278","1317","100"
"84","70","3","3","30","50","70","50","50","50","2000","76.8842661845303","115","100","52.60196905766526","85.18518518518519","886","100"
"85","75","3","3","30","50","70","50","50","50","2000","89.91106219187215","73","100","100","85.88235294117646","1297","100"
"87","85","3","3","30","50","70","50","50","50","2000","95.54686974349227","94","100","100","84.68468468468468","1238","100"
"86","80","3","3","30","50","70","50","50","50","2000","91.72906362325462","108","100","83.33333333333333","84.375","1395","100"
"88","90","3","3","30","50","70","50","50","50","2000","99.03123959990437","101","100","83.33333333333333","93.51851851851852","1238","100"
"89","95","3","3","30","50","70","50","50","50","2000","96.5126078604007","109","100","66.66666666666667","97.32142857142857","1165","100"
"91","30","3","3","30","50","70","50","50","50","2000","32.700578890652054","71","100","66.66666666666667","62.83185840707964","1220","100"
"90","100","3","3","30","50","70","50","50","50","2000","100","95","100","83.33333333333333","100","1025","100"
"92","35","3","3","30","50","70","50","50","50","2000","37.20383531171379","88","100","75.55621813118798","69.29133858267717","818","100"
"93","40","3","3","30","50","70","50","50","50","2000","78.0735663528017","60","100","83.33333333333333","61.855670103092784","1336","100"
"94","45","3","3","30","50","70","50","50","50","2000","66.31221094921509","71","100","73.52933597064981","71","1107","100"
"95","50","3","3","30","50","70","50","50","50","2000","75.93482766657924","93","83.33333333333334","57.75467578112151","75","1370","66.66666666666666"
"96","55","3","3","30","50","70","50","50","50","2000","60.741086536636345","73","100","66.66666666666667","65.76576576576578","1321","100"
"98","65","3","3","30","50","70","50","50","50","2000","76.9531406947029","90","100","50","83.33333333333334","980","100"
"97","60","3","3","30","50","70","50","50","50","2000","71.11002829225944","88","100","66.66666666666667","75.86206896551724","1313","100"
"99","70","3","3","30","50","70","50","50","50","2000","89.81387517068124","93","100","83.33333333333333","83.03571428571429","1047","100"
"100","75","3","3","30","50","70","50","50","50","2000","88.84397361746001","81","100","66.66666666666667","79.41176470588235","1487","100"
"101","80","3","3","30","50","70","50","50","50","2000","93.7887868623183","86","100","83.33333333333333","85.14851485148515","1162","100"
"104","95","3","3","30","50","70","50","50","50","2000","98.78235574223409","105","100","83.33333333333333","97.22222222222221","1459","100"
"102","85","3","3","30","50","70","50","50","50","2000","96.41745320213538","93","100","50","93","933","100"
"103","90","3","3","30","50","70","50","50","50","2000","96.34985735532938","98","100","50","94.23076923076923","768","100"
"105","100","3","3","30","50","70","50","50","50","2000","100","112","100","66.66666666666667","100","1142","100"
"106","30","3","3","30","50","70","50","50","50","2000","39.89012551809273","89","100","60.02524002660951","64.4927536231884","1050","100"
"107","35","3","3","30","50","70","50","50","50","2000","42.65073250958216","67","100","83.33333333333333","62.616822429906534","1395","100"
"108","40","3","3","30","50","70","50","50","50","2000","53.926277545236424","73","100","83.33333333333333","67.5925925925926","1181","100"
"110","50","3","3","30","50","70","50","50","50","2000","73.93726800918758","83","100","83.33333333333333","67.47967479674797","826","100"
"109","45","3","3","30","50","70","50","50","50","2000","56.46379882617574","73","100","79.524119790941","65.17857142857143","1042","100"
"111","55","3","3","30","50","70","50","50","50","2000","62.74388023690775","70","100","83.33333333333333","67.96116504854369","1247","100"
"112","60","3","3","30","50","70","50","50","50","2000","83.77300998592624","79","100","66.66666666666667","74.52830188679245","925","100"
"113","65","3","3","30","50","70","50","50","50","2000","75.02305317468794","87","100","66.66666666666667","76.31578947368422","1173","100"
"115","75","3","3","30","50","70","50","50","50","2000","78.58017156420216","97","100","83.33333333333333","83.62068965517241","654","100"
"116","80","3","3","30","50","70","50","50","50","2000","92.1932278385216","115","100","54.76190476190476","96.63865546218487","1081","100"
"117","85","3","3","30","50","70","50","50","50","2000","93.44524690374726","126","100","65.4708514216557","96.18320610687023","468","100"
"114","70","3","3","30","50","70","50","50","50","2000","71.4516916116802","106","100","72.40437157431745","80.3030303030303","786","100"
"119","95","3","3","30","50","70","50","50","50","2000","97.62354056757037","106","100","66.66666666666667","96.36363636363636","1200","100"
"118","90","3","3","30","50","70","50","50","50","2000","94.90735869240139","120","100","100","94.48818897637796","781","100"
"122","35","3","3","30","50","70","50","50","50","2000","38.871437582013705","83","100","90.93696519414044","69.16666666666667","1002","100"
"121","30","3","3","30","50","70","50","50","50","2000","35.92695814577339","65","100","74.86299032375705","55.55555555555556","1148","100"
"123","40","3","3","30","50","70","50","50","50","2000","58.403727937611656","61","100","50","54.46428571428571","1401","100"
"120","100","3","3","30","50","70","50","50","50","2000","100","113","100","66.66666666666667","100","1203","100"
"124","45","3","3","30","50","70","50","50","50","2000","58.96018855053029","58","100","66.66666666666667","59.79381443298969","1415","100"
"125","50","3","3","30","50","70","50","50","50","2000","66.66830989056886","84","100","83.33333333333333","73.68421052631578","1313","100"
"126","55","3","3","30","50","70","50","50","50","2000","71.66182552558361","83","100","83.33333333333333","68.59504132231406","963","100"
"128","65","3","3","30","50","70","50","50","50","2000","75.65800475264538","101","100","49.479791666666664","79.52755905511812","864","100"
"127","60","3","3","30","50","70","50","50","50","2000","60.77802216066405","102","100","89.77505359776713","76.69172932330827","465","100"
"129","70","3","3","30","50","70","50","50","50","2000","79.62517630456317","112","100","59.77973406763666","91.05691056910568","919","100"
"130","75","3","3","30","50","70","50","50","50","2000","89.89134703854324","94","100","83.33333333333333","80.34188034188034","732","100"
"131","80","3","3","30","50","70","50","50","50","2000","92.00635958514819","112","100","53.032667498959654","87.5","586","100"
"132","85","3","3","30","50","70","50","50","50","2000","91.06465593388741","107","66.66666666666666","73.9415745675254","93.85964912280701","1078","100"
"133","90","3","3","30","50","70","50","50","50","2000","98.63592910050393","96","100","66.66666666666667","90.56603773584906","1348","100"
"134","95","3","3","30","50","70","50","50","50","2000","99.88416500000001","117","100","83.33333333333333","97.5","1288","100"
"135","100","3","3","30","50","70","50","50","50","2000","100","121","100","50","100","1186","100"
"136","30","3","3","30","50","70","50","50","50","2000","29.510068317946416","78","100","59.47732266435892","58.64661654135338","985","100"
"137","35","3","3","30","50","70","50","50","50","2000","49.08104031007937","72","100","55.09259259259259","67.9245283018868","1246","100"
"138","40","3","3","30","50","70","50","50","50","2000","54.425768054403896","67","100","83.33333333333333","61.46788990825688","1422","100"
"139","45","3","3","30","50","70","50","50","50","2000","66.74423553026601","66","100","66.66666666666667","64.70588235294117","1649","100"
"141","55","3","3","30","50","70","50","50","50","2000","63.690314793309206","79","100","66.66666666666667","68.69565217391305","1279","100"
"142","60","3","3","30","50","70","50","50","50","2000","74.38864549041548","101","100","42.156876586693535","73.72262773722628","1133","100"
"143","65","3","3","30","50","70","50","50","50","2000","71.93424706063182","101","100","72.39599003064296","82.11382113821138","1053","100"
"140","50","3","3","30","50","70","50","50","50","2000","58.501034564487306","89","100","50","68.9922480620155","1069","100"
"144","70","3","3","30","50","70","50","50","50","2000","84.00532829195545","89","100","83.33333333333333","80.18018018018019","1240","100"
