"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"C:\Users\rkall\OneDrive\Documents\Personal\HRI Paper\Original\Trustv5.nlogo"
"Sweep_Reliability_x_Transparency"
"02/22/2026 23:56:19:480 -0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","robot-reliability","robot-transparency","num-humans","num-robots","initial-tasks","initial-trust","robot-autonomy","robot-comm-frequency","collaboration-rate","[step]","average-trust","total-tasks-completed","team-efficiency","get-average-stress","get-task-success-rate","communication-events","get-robot-utilization"
"143","70","70","3","3","30","50","70","50","50","2000","97.25829648319667","108","100","83.33333333333333","87.09677419354838","640","100"
"145","100","70","3","3","30","50","70","50","50","2000","100","126","100","87.65432098765432","100","1341","100"
"146","40","90","3","3","30","50","70","50","50","2000","62.841296156924926","82","100","83.33333333333333","69.49152542372882","1520","100"
"148","70","90","3","3","30","50","70","50","50","2000","84.52066753224788","101","100","72.29580573951434","82.78688524590164","1299","100"
"149","85","90","3","3","30","50","70","50","50","2000","97.73137659107907","108","100","72.67939589371981","90","876","100"
"147","55","90","3","3","30","50","70","50","50","2000","71.34791217785624","104","100","59.494195688225545","78.78787878787878","894","100"
"151","40","10","3","3","30","50","70","50","50","2000","36.019760168507325","67","100","83.33333333333333","64.42307692307693","812","100"
"150","100","90","3","3","30","50","70","50","50","2000","100","109","100","66.66666666666667","100","1035","100"
"152","55","10","3","3","30","50","70","50","50","2000","55.105784931007236","70","100","66.66666666666667","64.22018348623854","926","100"
"154","85","10","3","3","30","50","70","50","50","2000","91.6886696668497","116","100","100","93.54838709677419","1282","100"
"153","70","10","3","3","30","50","70","50","50","2000","78.00978464418846","91","100","83.33333333333333","77.77777777777779","732","100"
"156","40","30","3","3","30","50","70","50","50","2000","48.28629667191678","87","100","91.39587827701212","68.50393700787401","1073","100"
"155","100","10","3","3","30","50","70","50","50","2000","100","121","100","50","100","780","100"
"158","70","30","3","3","30","50","70","50","50","2000","75.7865747389398","95","100","100","81.19658119658119","968","100"
"159","85","30","3","3","30","50","70","50","50","2000","94.78115809489032","114","100","74.59197539632349","94.21487603305785","732","100"
"160","100","30","3","3","30","50","70","50","50","2000","100","117","100","66.66666666666667","100","1020","100"
"157","55","30","3","3","30","50","70","50","50","2000","59.61902625881953","115","100","37.6307370493417","79.3103448275862","466","100"
"161","40","50","3","3","30","50","70","50","50","2000","56.49616425301574","91","100","69.44444444444444","67.4074074074074","904","100"
"162","55","50","3","3","30","50","70","50","50","2000","65.60757710513595","82","100","66.66666666666667","78.84615384615384","1109","100"
"163","70","50","3","3","30","50","70","50","50","2000","88.1183676144796","110","100","90.78317715124517","83.33333333333334","1121","100"
"164","85","50","3","3","30","50","70","50","50","2000","91.95315002967332","112","100","61.1010285700095","90.32258064516128","1102","100"
"165","100","50","3","3","30","50","70","50","50","2000","100","105","100","66.66666666666667","100","1446","100"
"166","40","70","3","3","30","50","70","50","50","2000","38.85878524511349","81","83.33333333333334","38.888888450786574","63.28125","689","100"
"167","55","70","3","3","30","50","70","50","50","2000","72.20410615522341","62","83.33333333333334","66.66666666666667","62","919","66.66666666666666"
"168","70","70","3","3","30","50","70","50","50","2000","81.64678150683731","112","100","49.56947393253126","87.5","862","100"
"169","85","70","3","3","30","50","70","50","50","2000","94.77451181214205","116","83.33333333333334","73.5581622683784","92.06349206349206","713","66.66666666666666"
"170","100","70","3","3","30","50","70","50","50","2000","100","122","66.66666666666666","66.66666666666667","100","818","100"
"171","40","90","3","3","30","50","70","50","50","2000","39.758890578696935","87","83.33333333333334","61.964258045432096","69.6","622","66.66666666666666"
"172","55","90","3","3","30","50","70","50","50","2000","73.49479914127566","88","100","50","77.87610619469027","1174","100"
"173","70","90","3","3","30","50","70","50","50","2000","88.02121686758956","93","83.33333333333334","50","83.78378378378379","1236","66.66666666666666"
"175","100","90","3","3","30","50","70","50","50","2000","100","131","100","55.237055237055124","100","652","100"
"177","55","10","3","3","30","50","70","50","50","2000","59.2101116669422","92","50","100","77.31092436974791","1118","66.66666666666666"
"178","70","10","3","3","30","50","70","50","50","2000","70.6577493849283","94","100","55.2119129341285","84.68468468468468","852","100"
"179","85","10","3","3","30","50","70","50","50","2000","92.09994126048848","95","100","83.33333333333333","91.34615384615384","1234","100"
"174","85","90","3","3","30","50","70","50","50","2000","95.20357615693865","110","100","83.33333333333333","93.22033898305084","1147","100"
"176","40","10","3","3","30","50","70","50","50","2000","37.551147986371454","86","100","50","66.66666666666666","1319","100"
"181","40","30","3","3","30","50","70","50","50","2000","36.63033265796984","85","100","87.78998710582152","62.5","999","100"
"182","55","30","3","3","30","50","70","50","50","2000","64.32278264094629","84","100","50","79.24528301886792","1482","100"
"180","100","10","3","3","30","50","70","50","50","2000","100","132","100","82.07098765420064","100","1062","100"
"183","70","30","3","3","30","50","70","50","50","2000","72.56221157068885","105","100","62.28947846417615","87.5","747","100"
"185","100","30","3","3","30","50","70","50","50","2000","100","138","83.33333333333334","54.41176390359368","100","1043","66.66666666666666"
"186","40","50","3","3","30","50","70","50","50","2000","43.747219493815486","67","83.33333333333334","50","67","1364","100"
"188","70","50","3","3","30","50","70","50","50","2000","81.3592373002139","100","100","67.15210355987055","82.64462809917356","1260","100"
"184","85","30","3","3","30","50","70","50","50","2000","91.54369582827934","114","100","79.58627796560421","92.6829268292683","852","100"
"187","55","50","3","3","30","50","70","50","50","2000","63.0161571806639","114","100","53.225806451612904","80.85106382978722","1133","100"
"189","85","50","3","3","30","50","70","50","50","2000","91.38968322652617","103","100","87.78998778998778","91.96428571428571","1100","100"
"190","100","50","3","3","30","50","70","50","50","2000","100","116","100","83.33333333333333","100","1181","100"
"191","40","70","3","3","30","50","70","50","50","2000","58.315004143352894","84","100","72.14765097221523","71.1864406779661","1178","100"
"192","55","70","3","3","30","50","70","50","50","2000","77.09890166774669","95","100","83.33333333333333","77.8688524590164","1257","100"
"193","70","70","3","3","30","50","70","50","50","2000","90.09108220011528","110","100","83.33333333333333","80.2919708029197","1319","100"
"194","85","70","3","3","30","50","70","50","50","2000","94.3817164787197","104","100","66.66666666666667","92.03539823008849","1137","100"
"195","100","70","3","3","30","50","70","50","50","2000","100","126","100","63.18974172363741","100","478","100"
"198","70","90","3","3","30","50","70","50","50","2000","84.58753397465195","95","100","46.34146341463415","78.51239669421489","858","100"
"197","55","90","3","3","30","50","70","50","50","2000","81.22490851641228","93","100","66.66666666666667","78.8135593220339","936","100"
"196","40","90","3","3","30","50","70","50","50","2000","49.708747613457945","85","100","78.63247863245958","66.40625","572","100"
"200","100","90","3","3","30","50","70","50","50","2000","100","98","100","66.66666666666667","100","1016","100"
"199","85","90","3","3","30","50","70","50","50","2000","98.09601314184202","111","100","55.480984340044735","93.27731092436974","1087","100"
"201","40","10","3","3","30","50","70","50","50","2000","42.39826472889934","80","100","66.66666666666667","64","1434","100"
"202","55","10","3","3","30","50","70","50","50","2000","57.27665961733771","107","100","72.5458468174033","79.8507462686567","809","100"
"203","70","10","3","3","30","50","70","50","50","2000","66.39925810322808","84","100","66.66666666666667","75","671","100"
"204","85","10","3","3","30","50","70","50","50","2000","89.94917454971721","96","100","100","94.11764705882352","1037","100"
"205","100","10","3","3","30","50","70","50","50","2000","100","99","100","83.33333333333333","100","1555","100"
"207","55","30","3","3","30","50","70","50","50","2000","65.06041465586814","88","100","66.66666666666667","73.33333333333333","1151","100"
"208","70","30","3","3","30","50","70","50","50","2000","77.4566505983852","109","100","78.02281959020802","87.2","569","100"
"206","40","30","3","3","30","50","70","50","50","2000","49.3808463679869","66","100","66.66666666666667","64.70588235294117","1052","100"
"209","85","30","3","3","30","50","70","50","50","2000","97.11794575160422","108","100","71.19200825958701","93.10344827586206","1390","100"
"211","40","50","3","3","30","50","70","50","50","2000","45.635172578692476","88","100","72.81808622502568","73.94957983193278","1327","100"
"212","55","50","3","3","30","50","70","50","50","2000","75.56945262981009","77","100","58.07480512130061","77","895","100"
"210","100","30","3","3","30","50","70","50","50","2000","100","124","100","83.33333333333333","100","1253","100"
"214","85","50","3","3","30","50","70","50","50","2000","89.26030459508888","118","100","66.66666666666667","91.47286821705426","998","100"
"213","70","50","3","3","30","50","70","50","50","2000","80.21530669632644","90","100","60.34837443771581","81.81818181818183","1175","100"
"216","40","70","3","3","30","50","70","50","50","2000","50.182815057730785","80","100","49.48453608247423","70.17543859649122","603","100"
"217","55","70","3","3","30","50","70","50","50","2000","70.18324027345834","92","100","50","77.31092436974791","776","100"
"215","100","50","3","3","30","50","70","50","50","2000","100","119","100","69.0883190883191","100","924","100"
"219","85","70","3","3","30","50","70","50","50","2000","99.7015","95","100","69.98958333333333","89.62264150943396","1287","100"
"218","70","70","3","3","30","50","70","50","50","2000","81.39288835143829","114","100","62.126547085937126","82.6086956521739","955","100"
"221","40","90","3","3","30","50","70","50","50","2000","55.063165864066775","71","100","88.30310439328964","65.13761467889908","1232","100"
"220","100","70","3","3","30","50","70","50","50","2000","100","112","100","67.46031746031746","100","885","100"
"224","85","90","3","3","30","50","70","50","50","2000","92.48945309230841","117","50","90.70062812929609","93.60000000000001","861","100"
"223","70","90","3","3","30","50","70","50","50","2000","73.0877819507552","120","100","62.41467102870024","89.55223880597015","934","100"
"222","55","90","3","3","30","50","70","50","50","2000","80.06051685787897","86","100","67.68388106416275","73.50427350427351","1649","100"
"225","100","90","3","3","30","50","70","50","50","2000","100","116","83.33333333333334","66.66666666666667","100","1261","100"
"226","40","10","3","3","30","50","70","50","50","2000","39.164459335525116","83","100","74.34860408820543","70.33898305084746","777","100"
"227","55","10","3","3","30","50","70","50","50","2000","58.538861067460125","77","100","100","73.33333333333333","1475","100"
"228","70","10","3","3","30","50","70","50","50","2000","69.88627435839187","85","100","66.66666666666667","79.43925233644859","1485","100"
"229","85","10","3","3","30","50","70","50","50","2000","89.8625953386112","101","100","83.33333333333333","90.990990990991","732","100"
"230","100","10","3","3","30","50","70","50","50","2000","100","120","100","69.2090395480226","100","696","100"
"233","70","30","3","3","30","50","70","50","50","2000","81.73905734679296","83","100","66.66666666666667","75.45454545454545","1107","100"
"231","40","30","3","3","30","50","70","50","50","2000","43.432648075155335","87","83.33333333333334","84.70948005661319","74.35897435897436","1027","100"
"232","55","30","3","3","30","50","70","50","50","2000","55.64600880376915","97","100","50","78.86178861788618","1308","100"
"234","85","30","3","3","30","50","70","50","50","2000","92.07351275169897","109","50","100","88.6178861788618","934","100"
"235","100","30","3","3","30","50","70","50","50","2000","100","138","100","73.9593160247987","100","998","100"
"236","40","50","3","3","30","50","70","50","50","2000","50.58714190346519","57","100","83.33333333333333","54.807692307692314","1275","100"
"238","70","50","3","3","30","50","70","50","50","2000","84.25378711301546","97","100","100","84.34782608695653","1224","100"
"237","55","50","3","3","30","50","70","50","50","2000","65.85892093615385","95","83.33333333333334","67.7570093457944","74.80314960629921","661","100"
