"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Trustv7.nlogo"
"Sweep_Reliability"
"03/01/2026 12:08:08:982 -0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","robot-reliability","num-humans","num-robots","initial-tasks","initial-trust","robot-autonomy","robot-transparency","robot-comm-frequency","collaboration-rate","delegation-sensitivity","max-ticks","[step]","average-trust","total-tasks-completed","team-efficiency","get-average-stress","get-task-success-rate","communication-events","get-robot-utilization","get-delegation-rate","get-human-idle-rate","get-monitoring-stress","get-active-stress","get-mean-kalman-gain","get-mean-trust-covariance","get-misallocation-rate","get-judgment-failure-rate"
"43","90","3","3","30","50","70","50","50","50","0.5","2000","2000","91.59895969682627","92","100","86.87664041994749","86.79245283018868","518","100","13.043478260869565","0","0","86.87664041994749","0.2467755538618808","3.277033512464332","0","0"
"46","30","3","3","30","50","70","50","50","50","0.5","2000","2000","29.59590731200041","68","100","80.94762574442322","58.119658119658126","869","100","1.6666666666666667","0","0","80.94762574442322","0.24952286652130984","3.3254293961825723","0","0"
"45","100","3","3","30","50","70","50","50","50","0.5","2000","2000","100","81","100","83.33333333333333","78.64077669902912","759","100","9.090909090909092","0","0","83.33333333333333","0.25024787497651674","3.3379931883639298","25","1600"
"49","45","3","3","30","50","70","50","50","50","0.5","2000","2000","45.33346512952156","68","100","66.66666666666667","58.620689655172406","1043","100","6.521739130434782","0","0","66.66666666666667","0.24010988388040386","3.165914681065661","0","0"
"51","55","3","3","30","50","70","50","50","50","0.5","2000","2000","55.80395595546765","95","100","60.9367484367487","72.51908396946564","986","100","0","0","0","60.9367484367487","0.24676798588933702","3.276166419901415","0","0"
"48","40","3","3","30","50","70","50","50","50","0.5","2000","2000","40.9988472805471","66","100","72.07207207207739","58.4070796460177","1343","100","1.8867924528301887","0","0","72.07207207207739","0.24245803966197574","3.204570913497546","0","0"
"47","35","3","3","30","50","70","50","50","50","0.5","2000","2000","35.96214494336915","63","100","83.33333333333333","56.75675675675676","956","100","4.166666666666666","0","0","83.33333333333333","0.2564441736309589","3.449018604323971","0","0"
"52","60","3","3","30","50","70","50","50","50","0.5","2000","2000","61.50933526074999","70","100","100","71.42857142857143","1292","100","9.523809523809524","0","0","100","0.25484838321065456","3.4200876883762685","50","600"
"50","50","3","3","30","50","70","50","50","50","0.5","2000","2000","50.42975129954672","78","100","83.33333333333333","61.417322834645674","1065","100","4.3478260869565215","0","0","83.33333333333333","0.25055996323391105","3.3435114245452198","0","0"
"53","65","3","3","30","50","70","50","50","50","0.5","2000","2000","65.74621410159968","95","100","78.68601386405165","74.80314960629921","542","100","5.970149253731343","0","0","78.68601386405165","0.2505975793846242","3.3442139305763874","0","0"
