"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Trustv7.nlogo"
"TimeSeries_Baseline"
"03/01/2026 12:59:33:523 -0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","num-humans","num-robots","initial-tasks","initial-trust","robot-reliability","robot-autonomy","robot-transparency","robot-comm-frequency","collaboration-rate","delegation-sensitivity","max-ticks","[step]","average-trust","total-tasks-completed","team-efficiency","get-average-stress","get-task-success-rate","get-delegation-rate","get-human-idle-rate","get-monitoring-stress","get-active-stress","get-mean-kalman-gain","get-mean-trust-covariance"
"8","3","3","30","50","90","70","50","50","50","0.5","2000","140","64.28974171419873","10","100","48.279252692402004","90.9090909090909","0","0","0","48.279252692402004","0.5555111164400077","17.707567934060716"
"2","3","3","30","50","90","70","50","50","50","0.5","2000","140","90.17943486849504","5","100","54.80377634751065","71.42857142857143","0","0","0","54.80377634751065","0.2383499910908624","3.131739945368647"
"7","3","3","30","50","90","70","50","50","50","0.5","2000","160","77.3975901133892","5","100","59.01027918396128","83.33333333333334","0","0","0","59.01027918396128","0.3984216628631332","10.444336450028608"
"9","3","3","30","50","90","70","50","50","50","0.5","2000","140","91.66768277024853","6","66.66666666666666","19.854744125443514","100","50","33.33333333333333","9.090909090909092","0","0.22077622599037208","2.833825282551006"
"6","3","3","30","50","90","70","50","50","50","0.5","2000","140","90.30374291198126","6","100","31.412105189368905","100","16.666666666666664","33.33333333333333","9.090909090909092","42.57270323859881","0.22915533213521752","2.975385424217016"
"1","3","3","30","50","90","70","50","50","50","0.5","2000","120","76.43843029783342","2","100","47.880640289594375","50","0","0","0","47.880640289594375","0.3957837348868733","10.398974373574868"
"3","3","3","30","50","90","70","50","50","50","0.5","2000","140","90.3351126118419","5","100","39.949398804349336","83.33333333333334","0","0","0","39.949398804349336","0.2261750979188126","2.9235701630008157"
"8","3","3","30","50","90","70","50","50","50","0.5","2000","160","64.12111477626443","10","100","48.27925270403146","90.9090909090909","0","0","0","48.27925270403146","0.5555188065403288","17.707700365715652"
"5","3","3","30","50","90","70","50","50","50","0.5","2000","140","92.08134248287062","4","66.66666666666666","56.49519440803845","100","0","0","0","54.742791612057665","0.23854142167721704","3.1327650932667006"
"2","3","3","30","50","90","70","50","50","50","0.5","2000","160","90.01180038330028","6","100","58.08628431834961","75","0","0","0","58.08628431834961","0.23974390286643474","3.1551363830836867"
"9","3","3","30","50","90","70","50","50","50","0.5","2000","160","91.3100361436421","6","66.66666666666666","19.85474364992441","100","50","33.33333333333333","9.090909090909092","0","0.22077418084121073","2.833791896407533"
"6","3","3","30","50","90","70","50","50","50","0.5","2000","160","90.30780560599855","7","100","41.73354267772443","100","14.285714285714285","33.33333333333333","9.090909090909092","58.0548594711321","0.23215970009316847","3.0261781991558068"
"7","3","3","30","50","90","70","50","50","50","0.5","2000","180","77.0534827980374","6","100","59.01027918396128","75","0","0","0","59.01027918396128","0.3984217186136254","10.44433742252324"
"1","3","3","30","50","90","70","50","50","50","0.5","2000","140","75.3722868614477","3","100","52.141631850775866","50","0","0","0","52.141631850775866","0.39578661260164444","10.39902423846727"
"8","3","3","30","50","90","70","50","50","50","0.5","2000","180","72.26397191912157","11","100","48.27925270403146","91.66666666666666","0","0","0","48.27925270403146","0.4791882743274436","12.517224175239463"
"3","3","3","30","50","90","70","50","50","50","0.5","2000","160","90.94495916165715","6","100","35.486501236378416","85.71428571428571","0","0","0","35.486501236378416","0.22351470353840452","2.878848084284004"
"2","3","3","30","50","90","70","50","50","50","0.5","2000","180","90.00602080289303","7","100","63.54133939658382","77.77777777777779","0","0","0","63.54133939658382","0.23974403674949674","3.155138759453932"
"5","3","3","30","50","90","70","50","50","50","0.5","2000","160","90.40808965951739","5","100","36.194047759092435","83.33333333333334","33.33333333333333","33.33333333333333","9.090922207866354","49.74561053470548","0.22842518630089115","2.9620874399309423"
